18	7	[#6,#1]C([#6,#1])(O[#6])(O[#6])	COC(C)(OC)C	CC1(C)OCCO1
9792	18	O[cH0]1:[cH1]:[cH0](:[cH0]2[#6]([#6]([CH1]([cH0](:[cH1]:[#6]):[#6])O[cH0]2:[cH1]1)))[#8]	OC=1C=C(O)C=2CCC(OC2C1)C=3C=CC=CC3	CC=1OC(=O)C=C(C1)C2OC=3C=C(O)C=C(O)C3CC2	C=C1C(=C)C(=CC(O)=C1O)C2OC=3C=C(O)C=C(O)C3CC2
9793	8	[#9][cH0]1:[cH1]:[cH1]:[cH0]([#6]):[cH1]:[cH1]1	CC1=CC=C(F)C=C1
9794	9	[#8][CH1]1[#6][#6][CH1]([#6])[CH2][CH1]1[#8]	OC1CCC(C)CC1O
9795	11	[CH3][CH2]O[cH0](:[cH0](:[#6])O[#6]):[#6]	COC=1C=CC=CC1OCC	C1COC=2C(OCC)=CC=C(C)C12	OC=1C=C(C)C=C(OC)C1OCC
9796	7	I[cH0](:[#6]):[cH1]:[#7]	NC=1NN=CC1I	N=C1C=CC(I)=CN1C	ClC1=NC=C(I)C(=C)C1=C
9797	5	[CH3][CH0]([#7])([CH3])[CH3]	NC(C)(C)C
9798	11	[cX3]1[cH1][cH0]([cH1][cX3]([cH0]1[OX2]))[CX4]([NX3])	COC1=CC=C(C=C1)CNC	OC1=CC(=CC=C1O)C(C)N(C)C	CNC(C)(C)C1=CC=C(O)C=C1
9799	12	[CH3][CH1]([CH0](=[#8])N[#6])N[CH0](=O)[CH1]([#6])N	NC(C)C(=O)NC(C(=O)NC)C
9800	6	O=[CH0]([#8])[CH1]([CH3])[CH3]	OC(=O)C(C)C
9801	12	[CX4][OH0][CH1]([CX4])[OH0][CX4][CX3]	C=CCOC1OC(C)CCC1O	CC(OC1OCC(=O)NC1C)C	O=CC1OC2OC(OC2CC1)(C)C
9802	13	[cH1]([cX3]([cX3](a)[nX3]([cX3](a))a))[cX3](a)[ClH0]	CC1=CC(=CC=C1Cl)N2C=NN=C2	OC=1C=C(C(Cl)=CC1Cl)N2C(=O)C(=C)C(=C)NC2=S	N=C1C=C2C(=NC(=C)C(=C)N2C3=CC=C(Cl)C=C3)C=C1N
9803	8	O[CH1]([CH1]([#6])O[#6])[CH2][#6]	CC1OCCCC1O	COC(C)C(O)CC	CC1OCOC1CC
9804	10	[cX3](a)[cX3](a)a	NC1=NC=2C=CC=CC2S1	CC=1C(O)=C2C(C)=C(O)C(O)=C(C)C2=C(O)C1C	BrC=1C=C(Br)C=2NN=CC2C1
9805	8	[#6]:[cH1]:[cH1]:[cH0](:[#6])N=[#7]	N=NC=1C=CC=CC1	CC1=CC(S)=CC=C1N=N	N=NC1=CC=C(O)C=C1N
9806	22	[CH3][CH0]1([CH1]2[CH2][CH2][CH0]([CH1]([CH0]2([CH2][CH2][CH1]1O)[CH3])[#6])([CH0]([#6])([CH2][CH2][#6])[CH3])[CH3])[CH3]	CCCC(C)(C)C1(C)CCC2C(C)(C)C(O)CCC2(C)C1C	OC1CCC2(C)C(C)C(C)(CCC2C1(C)C)C3(CCCC3)C
9807	9	[CX4][CH2][CH2][CH2][CX4]([CX4]([CX4][NX3]))	CCCCCCCCN	CN1CCC2(O)CCCCC2C1	N1C2CCCC1CC(N)C2
9808	11	[CX4][NX3]([cH0]1[cH0]([cH1][cX3]([cH1][cH1]1))[NX3])	CN1C=2C=CC=CC2NCC1	CNC1=CC(F)=CC=C1N(C)CC	C1=CC(NC=2C=CC=CC2N1)C=3C=CN=CC3
9809	14	[#8]=[CH0](N1[CH2][#6][#6]([CH2][CH2]1))[cH0](:[#6]):[#6]	O=C(C=1C=CC=CC1)N2CCCCC2	O=C(C=1C(=NOC1C)C)N2CCCCC2	O=C(C1=CC(S)=C(F)C=C1Cl)N2CCCCC2
9810	14	[cX3](a)[cX3]([cH0]([cX3]([cX3]a))[cX3](a)[cX3]a)	N=1C=2C=CC=3C=CC=CC3C2OC1C	OC=1C=C2C=C3C=4C=C(O)C(O)=CC4CCN3C(=O)C2=CC1O	SC=1C=CC(=CC1)C=2C=CC3=C(N)C=CN=C3C2
9811	11	[CH3][CX4]([CH1]([CX4][CH0](=[CX3])[CX3])[CX4])	CC=C1C(=O)CCC(C1)CC	CC(O)(C)C(C)C(C(=C)C(O)=O)C	CC(C)=C1C=CC2(CCCC2C1C)C
9812	16	[cX3](a)([cX3]([nX3](a)-[cH0]1[cH1][cH1][cH1][cH1][cH1]1)a)a	CC1=CC=2C=CC=CC2N1C=3C=CC=CC3	S=C1N=CNC2=C1C=NN2C=3C=CC=CC3	SC1=NN=C(C=2OC=CC2)N1C=3C=CC=CC3
9813	11	[CX4][CX4]([CH1]([CX4]([CH3])[CX3](=[OH0]))[OX2])	O=CC1(CCCCC1OC)C	O=C(O)C(C)C(O)C(N)CC=1C=NC=CC1	O=C1C=CC(CO)C(O)C1(O)C
9814	11	[cX3](a)[cX3]([nH0][cX3](a)[cH1][cX3](a))	CC=1C=NC2=CC=NN2C1N	OC1=CC=CC(=C1)N2C(=O)C(=C)C(=C)NC2=S	ClC1=NC=NC(=C1)N2C=NC=C2
9815	13	[CX3]([CX4][cX3]([cX3]a)a)[CH0](=[OH0])[OX2]	O=C1OCC=C1CC=2C=CC=CC2	CC=1SC=2NC=C(C(=O)OC)C(C)C2C1N	C=C(C(=O)OC)C(C)C1=CC=CC2=NON=C21
9816	5	[CH3]N[CH2][CH2][#6]	CCCNC	C=1C=CC2=C(C1)NC=C2CCNC
9817	10	[#6][cH0]1:[cH0]([#6]):[cX3]:[cH0](:[cX3](:[cX3]1))O[CH3]	CC1=CC(OC)=CC=C1C	NC1=C(OC)C=CC=2C=CN=CC12	OC1=C(OC)C=CC=2C=C3C=4C=CC(OC)=CC4CCN3=CC12
9818	9	[CX4][OH0][CX4][CX4]([CH3])[CX4]	OC(C)OCC(C)CC	CC12OC(OC2CC(C)C1(C)C)C	CC1(OC1(C)C(C)(C)CC)C
9819	9	[CH3][CH1]([CH3])[CH2][CH2][CH2][CH2][CH2][#6]	CCCCCCC(C)C
9820	11	[CX4][CX4][OH0][CX4][cH0]1[cH1][cH1][cH1][cH1][cH1]1	CCC1OC1C=2C=CC=CC2	CC(OC(O)C(C)O)C=1C=CC=CC1	NCCOC(C1=NC=CC=C1)(C=2C=CC=CC2)C
9821	9	[CX3](=[OH0])[NH1][cX3]([nH0][cX3]a)a	O=C(N)NC1=NC=CS1	CN1C(=O)NC(=O)C=2CC(=O)NC21	O=C(NC1=CC(=NN1C2=NC=3C=CC=CC3N2)C)C
9822	10	[#7][CH2][CH2]O[cH0](:[#6]):[#6]	NCCOC=1C=CC=CC1	CC=1C=C(O)C=2OCCNCC2C1	ClC1=CC=C2OCCNC2=C1
9823	8	Br[cH0]1:[cH1]:[cH1]:[#6]:[#6]:[cH1]1	BrC1=CC=CC(N)=C1	BrC=1C=CC2=NCC=C2C1	CC1=CC=C(Br)C=C1S
9824	14	[cX3]1[cH1][cH1][cH0]([cH1][cH1]1)[CX4]([cH0]([cX3]a)[cX3]a)[OH1]	OC(C=1C=CC=CC1)C=2C=CC=CC2	ClC1=CC=C(C=C1)C(O)(C)C=2C=CC(=CC2)C=3C=NNC3	OC1(NCC=2C=CC=CC21)C=3C=CC=CC3
9825	22	[cX3](a)[cX3]([cH1][cH0]([cX3]a)[OH0][CH1]1[CX4]([CX4]([CX4]([CH1]([OH0]1)[CX4]))))	OCC1OC(OC2=CC=3OC=CC3C=C2C)C(O)C(O)C1O	CC=1OC(=CC(=O)C1C)C=2C=CC=CC2OC3OC(C)C(O)C(O)C3O	CC1=C(O)C2=C(O)C(=C(OC3OC(C)C(O)C(O)C3)C=C2C=C1C)C
9826	13	[CX4][CH1]([CX4][CX4]([CX4]([CX3])[CH3]))[OH0][CX3]	O=C(OC1CC(=C)C(C)(C)CC1)C	N=C(C)C(C)C(O)C(O)(C)C(OC(=O)C)CC	O=CC1(CC(O)C2OC(=O)C1C2C)C
9827	21	O[CH1]1[CH1]([CH1](O[CH1]2[CH1]([CH1]([CH1]([CH2]O[#6])O[CH1]2[#8])O)O)O[#6]([#6]1))O	OC1OC(COC)C(O)C(O)C1OC2OCCC(O)C2O
9828	7	[#6][CH2][CH1]([CH2][#6])O[#6]	COC(CC)CC	CCC1OCCC1
9829	10	[nX3]([cX3](a))[cX3](a)[CX4]([FH0])[FH0]	NN1C(S)=NN=C1C(F)F	CC=1C(=O)NC(=CC1O)C(F)(F)F	CN1C(=C)C(=C)N=C1C(F)(F)F
9830	12	[CH3][OH0][cH0]1[cH1][cX3](a)[cX3](a)[cH1][cH1]1	SC1=NC=2C=CC(OC)=CC2N1	NC=1C(=O)OC=2C=C(OC)C=CC2C1O	CN1C(=N)C=C(C=2C=CC(OC)=CC21)C
9831	11	[#8]=[CH0](O[CH2][CH1]([#6])O[CH1]([#6])[#8])[CH3]	O=C(OCC1OC(O)CC1)C	O=C(OCC(C)OC(O)C)C
9832	9	[CX4][CH0](=[OH0])[CH0](=[CX3][OX2])[CX4]	O=C1C(=CO)CCCC1	CC1(C)OC(C)=C(C1=O)C	CC1NCC(O)=C1C(=O)C
9833	18	[CX4]([CX4][OH0][CX3][cH0]1[cH1][cH1][cH1][cH1][cH1]1)[CX4][OH0][CX3](=[OH0])	CC(=O)OCC(O)C(C)OC(=O)C=1C=CC=CC1	CC1(OC(=O)C)CCC(OC(=O)C=2C=CC=CC2)C1C	CC(OC(=O)C1=COC=C1)C(C)(C)C(OC(=O)C=2C=CC=CC2)C
9834	13	[CX4]([CX4][CH2][cH0]1[cX3][cX3]([cX3]([cH1][cH1]1)))[CH1]=[CX3]	CC=CC(O)CCC=1C=CC=CC1	CC(O)=CC1CC2=C(O)C(O)=CC=C2CC1N	C=1C=CC(=CC1)CC2CCC=CC2
9835	6	[CH3][CH2][CH2]N([#6])[#6]	CN(C)CCC
9836	12	[CX4]([CX4][CX4]([CX4][CH1]=[CX3])[CH3])[CX4][OH1]	CC=CCC(C)C(C)CC(C)O	CC1C(C)C2(C)C=C(O)COC1(O)C2O	OC(C=C(C)C)C1(CC(C)(O)CC1)C
9837	7	[CH3][CX4][NH1][CX4][CX3]	O=CC(C)NCC	S=C1NC(NC1(C)C)(C)C	O=C(N)C1NC(SC1)C
9838	11	[OX2][CX4]([CX4][cH0]1[cH1][cH1][cH0]([cH1][cH1]1)[OX2])	COCCC1=CC=C(O)C=C1	COC(C)C(S)C1=CC=C(OC)C=C1	OC1=CC=C(C=C1)C(C)C(O)(C)C
9839	16	[CH3][CX4][OH0][CX4][OH0][CH1]1[CH1]([CX4]([OH0][CX4]([CX4]1)))[OH1]	OC1OCC(O)C(OC(C)OC(C)C)C1O	OC1OC(C)C(O)C(OC(OC(C)C)C)C1	CC(OC(C)C)OC1C(N)C(O)OC(C)C1O
9840	13	[CX3](=[OH0])[CH1]([NX3])[CX4]([CX4](a))	O=C1NC=2C=CC=CC2CCC1N	CN1CSC(C)(CN2N=NC=C2)C1C(=O)O	CNC(C(=O)N)C(O)C(O)C1=CC=C(O)C=C1
9841	14	O=[CH0]([CH1]([CH2][CH2][#6])N[CH0](=O)[CH1]([#6])N)N[#6]	NC(C)C(=O)N1CCCC1C(=O)NC	CCCC(NC(=O)C(N)C)C(=O)NC	O=C(NC1C(=O)N(C)CCC1)C(N)C
9842	12	[#6][CH2]N([CH2][#6])[CH2][cH0]1:[cH1]:[cH1]:[cH1]:[cH1]:[cH1]1	CCN(CC)CC=1C=CC=CC1
9843	8	[CH3][CX4][CH0](=[CH1][CX4])[CH3]	OCC=C(C)C(C)C	CC1CCC(C)(C(=C1)C)C	CC1(OC(C=C1C)(C)C)C
9844	11	[CH2]([CX4]([CH1]([CX4])[NX3]))[CX4]([CX3](=[OH0]))	O=C(O)C(N)CCC(N)CC	CC1(C)CC2C(=O)N(C)C1C(C)C2	O=C(N)C1CN(C)C2CC3=CNC4=CC=CC(=C43)C2C1
9845	15	[CX4]([CH3])([CX4]([CH0](=[OH0])[OH0][CX4]a))	O=C(OCC=1C=CC=CC1)C(N)C(O)C	O=C1OC(C2=COC=C2)CC(C)(C)C1C	O=C1OCC=2C(=O)N3C(=CC2C1(O)CC)C=4N=C5C=CC=CC5=CC4C3
9846	7	[OX2][CH2][CH1]([CX3])[NH2]	O=C(N)C(N)CO	O=C(O)C(N)COP
9847	9	[#6]:[cH0](:[#6])O[CH2][#6]	CCOC=1C=CC=CC1	OC1=CC(O)=CC=2OCCCC12	C1=CCOC=2C=CC=CC12
9848	12	[CH3][CX4]([CH1]1[CH2][CH2][CX4]([CX4]1[CH3])([CX3]))	C=C(C)C1CCC(C(C)C)C1(C)C	CC1(C)C2C(=O)C(C)(C)C1CC2	CC(=C)C1(O)CCC(C(C)(O)C)C1(C)C
9849	7	[#6]N[CH2][CH1]([CH2][#8])[#8]	OCC(O)CNC	OCC1OCNC1
9850	11	O=[CH0]([CH2][CH2][CH2][CH2][CH2][#6])N[CH2][#6]	O=C(NCC)CCCCCC
9851	14	[#8][CH1]1[#6]([CH1]([CH1](O[CH0]([#6])([CH3])[#6])O[CH1]1[#6])[#8])	CC(OC1OC(C)C(O)CC1O)(C)C
9852	13	[OX2][cH0]1[cH0]([cH1][cX3][cH0]([CH2][CH2][NX3])[cH1]1)[OH0][CX4]	CCOC1=CC=C(C=C1OC)CCN	CN1CC2=CC=3OCCCOC3C=C2CC1	OC=1C=C2C(CNCC2)=CC1OC
9853	13	[cX3]1[cH1][cX3]([cH0]([cH1][cH1]1)[CX4]([CX4](a)))	N1=NC(=NN1)CCC=2C=CC=CC2	OC=1C=C2OC3C4=CC=C(O)C=C4OCC3(O)C2=CC1C	NC(C1=CC=C(Cl)C=C1)C(N)C2=CC=C(Cl)C=C2
9854	6	[CX4]([CH2][NX3][CH3])[CX3]	C=CCCNC	O=C(C=1C=NC=CC1)C2CN(C)CC2	CC(=N)CCN(N)C
9855	11	[cX3](a)[cH0]([cX3]a)[CX4]([CX4]([CX3](=[OH0])))	O=C1C=2C=CC=CC2CC1C	O=C(O)C(N)CC1=CC(Br)=C(O)C(Br)=C1	O=C1OC(=C)C(=C)C(=C1CCC(=O)N)C
9857	13	O[cH0]1:[cH1]:[#6](:[cH0](:[cH0](:[cH0]1[CH2][#6])O)[CH0]([#6])=O)	CC(=O)C1=CC=C2OCCC2=C1O	O=C(C)C1=C(O)C=C(O)C(=C1O)CC	O=C(C)C1=C(O)C=C2OCCC2=C1O
9858	11	[CH3][cH0](:[cH0](:[#6])O[#6]):[cH0](:[#6])O	COC1=CC(=CC(O)=C1C)C	C=C1C(=C)C=2CCOC2C(=C1O)C	C=C1C(=C)C=C(OC)C(=C1O)C
9859	12	[cX3]([cH0]([cH0]([cX3]a)[OH0][CH3])[CX3][NX3])a	CNC(=O)C=1C=CC=CC1OC	CC=1C(O)=C(O)C(OC)=C2C(=O)NCC12	OC1=CC=CC(C(=S)N)=C1OC
9860	11	[CX4][cH0]1[cH1][cH1][cH0]([cH1][cH1]1)[CH0](=[OH0])[NX3]	O=C(NC)C1=CC=C(C=C1)C	O=C(NC=1N=C2C=CC(=CN2C1)N3C=NC=C3)C4=CC=C(C=C4)C(C)(C)C	CC(N)C1=CC=C(C=C1)C(=O)N(C)C
9861	10	[#8][CH1]1[#6]([#6]([CH1]([CH1](O1)[#6])O[#6]))	COC1CCC(O)OC1C	COC1CCC2OCC1O2
9862	9	[#8][CH1]1[CH2][CH0](=[CH1][#6])[#6]([#6][CH2]1)	CC=C1CCCC(O)C1
9863	7	[CX4]([CH1]([CH2][OH1])[NX3])[OH1]	CNC(CO)CO	CN(C)C(CO)C(C)O	CC(O)C(N)CO
9864	12	[NX3]([cX3]([cX3]a)a)[CX3]([NX3][CH3])	S=C(NC=1C=CC=CC1Cl)NC	O=C1NC2=CC=C(N)C=C2CN1C	CC=1ON=C(C1)NC(=O)N(C)C
9865	9	[#6]N([CH1]([#6])[CH2][CH2][CH2][#6])[#6]	CC(N(C)C)CCCC	CC1CCCCN1(C)C	N=1C=CC=C2C1C(N(C)C)CCC2
9866	12	[CH2]([CX4][cX3](a)[cX3]a)[CX3]([NX3])	CNC(=O)CCC=1C=CC=CC1	OC=1C=C(C(Br)=C(O)C1O)C2C=CNC(=O)C2	O=C1N(C)C2=CC=C(N)C=C2CC1
9867	10	[OX2][cH0]1[cH1][cH0]([cH1][cX3]([cH0]1[OX2]))[CX4]	OC1=CC=C(C=C1O)CC	PC(O)C1=CC=C2OCOC2=C1	SC(N)C1=CC=C(OC)C(OC)=C1
9868	11	[#6][CH2]O[CH0](=[#8])[cH0]1:[cH1]:[cH1]:[cH1]:[#6]:[#6]1	O=C(OCC)C=1C=CC=CC1	CC=1C=CC=CC1C(=O)OCC=2C=CC=CC2	CC1=CC=CC(C(=O)OCC)=C1O
9869	11	[NX3][CH1]([CX4])[CX4]([cX3]([cX3]a)a)	OCC(N)CC=1C=CC=CC1	CC=1C(=C)C(=C)C2=C(C1C)CN3CCCC3C2	CN1C2=CC(O)=C(O)C=C2C(C)(C)C1C(C)C
9870	8	[CH3][CH1]1[CH2][CX4]([CX4]([CX4]1))	CC1CCC(C)C1C	CC1(O)C(O)CC(C)C1(C)C	CC1CCC(C)C1(C)C
9871	12	[CH3]O[cH0]1:[cH1]:[cH0]([CH2][CH2][#6]):[#6]:[#6](:[cH0]1[#8])	OC1=CC=C(C=C1OC)CCC	OC1=CC=2C=CCCC2C=C1OC	CC1=C(O)C(O)=C(OC)C=C1CCC
9872	11	O=[CH0]([cH0](:[cH0](:[#6])O[#6]):[cH1]:[#6])O	OC(=O)C=1C=CC=CC1OC	O=C(O)C1=CC2=NNN=C2C=C1OC	OC(=O)C1=CC(Cl)=C(N)C(O)=C1OC
9873	14	[cX3]([cX3](a)[CX3][NX3])[cX3]([cH1][cX3]a)	O=C(NC)C=1OC=2C=CC=CC2C1C	O=C(N)C1=C(SC=C1C=2SC=CC2)N	CN1C(=O)C=2C(O)=C3C=CC=NC3=C(O)C2C1
9874	14	[CX4]([CH2][CH2][CX3])[CH1]1[CH2][CX4]([CX4]([CX4]1[CH3]))	C=CCCC(C)C1CCC(C)C1(C)C	C=C1C=CC(CC1)C2CCC(O)(C)C2(C)C	O=C(N)CCC(C)C1CCC(C)(O)C1(C)C
9875	7	O[CH1]([CH2][CH1]([#6])O)[#6]	OC1CCC(O)C1	OC(C)CC(O)C
9876	10	[CX4][NH1][CH2][cX3](a)[cH1][cH1][cX3]a	CCNCC=1C=NC=CC1	BrC1=CC=C2C(CCNC2)=C1	ClC1=CC=C(C=C1Cl)CNC2CC2
9877	10	[#8][cH0]1:[cH0](:[cH1]:[cH0]([CH2][#6]):[cH1]:[#6]1)[#6]	CC1=CC(=CC=C1O)CC	CC=1C=C(C=C(C)C1O)CC
9878	10	[NX3]([CX4])[CH0](=[OH0])[CX4]([CH2][CH2][CX4])	O=C(NCC)CCCCC	CC(C)N(C)C(=O)C1NCCC1	O=C(NC(C)(C)C)C1CC(C)CC1
9879	15	[CX4][CH2][CH2][CX4]([CH0](=[OH0])[NH1][CH1]([CX3](=[OH0]))[CH2][CH2][CX4])	O=C(NC(C(=O)O)CCCN)CCCC	NCCCC1NC(=O)C(NC1=O)CCCN	NC(=O)C(NC(=O)C1NCCC1)CCCN
9880	11	[CX4]([CH3])([CH3])[cH0]1[cH1][cX3]([cH0]([cX3]([cH1]1))[CX4])	NCC1=CC=C(C=C1)C(C)C	CC1=CC(=CC=C1C(C)(C)C)C(O)(C)C	SCC1=CC=C(C=C1)C(C)(C)C
9881	7	[CX3][CX4]([CX4])([CX3](=[CX3]))	C=CC(C=CC)C	O=C(O)C1C=CCC1	CC1=CNC=CC1(C)CC
9882	10	[cX3]([cX3](a))[cH0]([cX3](a)[CX3])[IH0]	O=C(N)C=1C=CC=CC1I	CC1=CC=CC=2IOC(=O)C12	O=CC1=CC=C(O)C(O)=C1I
9883	9	O=[CH0](O[CH1]([#6])[CH0](=O)O)[#6]	O=C(O)C(C)OC(=O)C	O=C(O)C1CCC(=O)O1
9884	13	[cX3]1[cH0]([cH1][cH0]([cH1][cH1]1)[CX4][CH2][CX3])[OX2]	C=CCCC1=CC=C2OCOC2=C1	OC1=CC=C(C=C1OC)C2NN=C(C=3SC=CC3)C2	CC(=O)CC(O)C=1C=CC=C(O)C1
9885	2	[CH3][#7]	NC	N1=NN(C=2C=CC=CC12)C
9886	14	[NX3](a)[cH0]1[cX3]([cX3]([cX3]([cH1][cH1]1)))	N=1C=CC=NC1NC2=CC=C(N)C=C2	ClC1=CC=C2SC3=CC(O)=CC=C3N(C)C2=C1	CC1=CC=C(F)C(F)=C1NC2=CC=C(I)C=C2F
9887	10	[CX4](a)[NX3]([CH2][CX4])	CC1=NN=C2N1CCNC2	BrC1=CC=C(C=C1)CNCCO	NCCN(C)CC1=CC(=O)OC(C)=C1C
9888	12	[CX4]([CX4]([CX4]))([CX4][cX3]([cX3]a)a)[CH3]	CC1(C)CCC=2OC=CC2C1C	CC1=CNC(=O)C(=C1C)C(C)C(C)C(O)(C)C	OC=1C(O)=CC(N)=CC1CC(C)CC(O)C
9889	8	Cl[cH0]1:[cH1]:[cX3]:[cX3](:[cX3](:n1))	CC=1C=CN=C(Cl)C1	ClC=1N=C(Cl)C(=C)C(=C)C1	ClC=1N=C(Cl)C(N)=C(Br)C1
9890	14	[CX4]([CH2][cH0]1[cX3][nX3]([cH0]2[cH1][cH1][cH1][cH1][cH0]12))[CX4]([CX4])	CN1C=2C=CC=CC2C3=C1CCCC3	CC(CC1=CNC=2C=CC=CC21)C(C)(C)C	CC1CC2NC(CC=3C=4C=CC=CC4NC32)C1(C)C
9891	8	[cH1](:[#6]):[cH1]:[cH0](:[#6])N[#16]	SNC=1C=CC=CC1	SNC=1C=CC(=C)C(=C)C1	CC1=CC(F)=CC=C1NS
9892	7	[OX2][CH2][CX4][CX4]([CX3])	O=C1OCCC1N	C=CC(C)CCO	COCC1CC=NC1C
9893	9	[CX3][CH2][CH1]([CX4])[OH0][CX3]	O=C1OC(CC=C1)CC	NCC(OC(=O)C)CC(=O)O	O=C(C)OC1CC(=CCC1C)C
9894	7	[CX4][CX4]([CH1]([CH3])[CH3])[OH1]	OC(CC)C(C)C	OC(C)(C)C(C)C	CC(C)(N)C(O)C(C)C
9895	8	[#6][cH0]1:[cH0](:n:[cH1]:[cX3]:[cX3]1)[#6]	CC1=NC=CC=C1C	CC1=CN(C)C2=C(O)C(N)=C(F)C=C2C1=O	CC=1NC=CC(=O)C1C
9896	14	[NX3][CH1]([CH2][CH1]([CH3])[CH3])[CH0](=[OH0])[NH1][CX4]([CX4]([CH3]))	CNC(C(=O)NC(C)CC)CC(C)C	CN(C)C(C(=O)NC(C)C(O)C)CC(C)C	CC(NC(=O)C(N)CC(C)C)C(C)C
9897	7	[CX4][NX3][CH2][CH2][NH1][CX4]	CCNCCNCC	SN1CCNCC1	N=1C=CC(C=2C=NN3C=C(C=NC23)C=4C=CC(=CC4)N5CCNCC5)=C6C=CC=CC16
9898	7	[CX4]([CH2][CX4][NX3])[CX3]	NC(=O)CCCN	N=C1N(C)CCC1O	CC(=C)C(C)CC(C)(O)N(C)C
9899	12	[CH3][CH0]1([CH2][CH2][CH0]([CH0](=[CH1][#6])[#6]1)([#6])[CH3])[#6]	CC=C1CC(C)(C)CCC1(C)C
9900	12	[CX3]=[CH1][CH2][CX4]([CX4]([CH2][CH1]([CX4])[OH1]))	CC1C(O)CC(O)C1CC=CC	CC=1CCC(CC1)C23CCC(O)(OC2)C(O)C3	OC(CC)CC(O)C(O)CC=CC
9901	12	[cX3]([cH1][cH1][cX3]([cX3](a)[nH0][cX3](a)[CX4])a)a	N=1C(=CSC1C)C=2C=CC=CC2	ClC=1C=CC=CC1C2=NOC(=N2)CN	OCC1=NC=2C=NC=3C=CC=CC3C2N1C
9902	7	[CX4][CH2][CH2][CX4][CX3](=[OH0])	O=C(C)CCCC	O=C1NCCCCC1N	CC12CCC(=O)C(C)(CC1)C2
9903	8	O=[CH0]1[CH2][#6]([#6]([CH1](O1)[#6]))	CC1CCCC(=O)O1	O=C1OC(CCC1)C2=COC=C2
9904	12	[CX4][CH2][CH2][CH1]([CX4][CX3](=[OH0]))[OH0][CX3]=[OH0]	O=C(OC(CC(=O)O)CCC)C	O=C1CC(C(=O)O)C(O1)CCCC	CC1CC(O)(C(=O)O)C(OC(=O)C)CC1
9905	15	O=[CH0]([#7])[CH1]([CH2][CH2][CH0](=O)[#8])N[CH0](=O)[CH1]([#6])[#7]	O=C(N)C(NC(=O)C(N)C)CCC(=O)O
9906	11	[cX3]1[cH1][cX3]([cH0]([cH1][cH0]1[CX4])[OH0][CH2][CX4])	NCCOC1=CC=CC(=C1)C	N1C=2C=C3C(OCC3(C)C)=CC2CC1	CC=1C=C2OCCCOC2=CC1CC
9907	2	S[#6]	SC	SC1=CC=CC=2C=NC=CC12	SC=1SC=CC1
9908	7	[CX4]([CX4][CX4]([NX3])([CH2][CX4]))	CNC(CC)CC	NC1CCCCC1N	N1CCC(N(C)C)(C)CC1
9909	5	[CH2]([#6])[CH2][CH2][#7]	NCCCC	C1NCCC1	CCCCN1C=CC=2C=CC=CC21
9910	12	[cX3](a)[cH1][cH1][cX3](a)[CX4]([CX3][NX3])([NX3])	O=C(NC)C(N)C=1C=CC=CC1	OC1=CC=C(C=C1)C2(NCN(C2=O)C)C	CN(C=1C=CC=CC1)C2(S)C(=O)NC=3C=CC=CC32
9911	11	[cX3](a)([cH1][cX3](a)[OH0][CH3])[OH0][CH3]	CC1=CC=C(OC)C=C1OC	N=C1N=C(OC)C=C(OC)N1N	OC=1N=C(OC)C=C(N1)OC
9912	11	[CX4]([CX4])[CX4]([cH0]1[cH0]([NX3])[cX3]([cH1][cH1][cH1]1))	CN1C=2C=CC=CC2CCC1	CC1(S)NC2NC=3C=CC=CC3C2(C)C1O	IC1=CC=CC2=C1NCC3CC=CC23
9913	10	[CH3][CX4]([CX4]([CX3](=[OH0]))([CX4]([CH3])([CH3])))	O=C(N)C(N)(CC)C(C)C	O=C(O)C1C(C)(C)C1(C)C	OC(=O)C(O)(C(O)C)C(O)(C)C
9914	12	[#8][cH0]1:[cH1]:[cH0]2:[cH0](:[cH1]:[cH1]1):n:[cH1]:[cH0]2[CH2][#6]	OC=1C=CC=2NC=C(C2C1)CC
9915	9	[#8]=[CH0](O[CH1]([CH1]=[CH1][#6])[#6])[#6]	CC=CC(OC(=O)C)C	O=C1OC(C=CC)CC1	CC(OC(=O)C=1C=NC=CC1)C=CC
9916	14	O=[CH0]([CH1]([CH2][#6])N[#6])N[CH1]([CH2][#6])[CH0](=[#8])O	O=C(O)C(NC(=O)C1NCCC1)CC	CNC(C(=O)NC(C(=O)O)CC=1C=CC=CC1)CC=2C=CC=CC2	CNC(C(=O)NC(C(=O)O)CC)CC1=CN=CN1
9917	9	[CH2]([CH2][CH2][CH2][CH2][#6])[CH2][CH2][#6]	CCCCCCCCC
9918	11	[CX4]([CX3])[OH0][CX4][CX4]([CX4]([OH0][CX4]))	C=CC1OC2CC(OC2C)C1	CC(OC)CC(OC(O)(C=O)CC)C	CC(=O)C1(O)OC1(C)C2(C)OC2(C)OC
9919	12	O=[CH0]([cH0]1:[cH1]:[cH0](:[cH0]([#8]):[cH1]:[cH1]1)O[CH3])[#6]	OC1=CC=C(C=C1OC)C(=O)C
9920	4	[#7][CH1]1[CH2][CH2]1	NC1CC1
9921	11	[cX3](a)(a)[CH2][NH1][CH0](=[OH0])[CX4]	O=C(NCC1=COC=C1)CC	O=C1C(=C)C(=C)N=C2N1C(C)C(=O)NC2	NC(C(=O)NCC=1C(F)=CC=CC1Cl)C
